timestamp,use_reduction,latent_dim,conv_blocks,filters,kernel_size,n_train,n_test,classifier_epochs,classifier_batch_size,autoencoder_epochs,autoencoder_batch_size,train_seconds,accuracy,balanced_accuracy,kappa,precision,recall,f1,tn,fp,fn,tp
2026-06-03T10:29:55,False,,1,[16],3,700,300,12,32,,,1.4770268999855034,0.9533333333333334,0.953525641025641,0.9065670048051255,0.9452054794520548,0.9583333333333334,0.9517241379310345,148,8,6,138
2026-06-03T10:29:57,False,,1,[16],5,700,300,12,32,,,1.4307755999907386,0.9666666666666667,0.9666132478632479,0.9332264957264957,0.9652777777777778,0.9652777777777778,0.9652777777777778,151,5,5,139
2026-06-03T10:29:59,False,,1,[32],3,700,300,12,32,,,1.6214083999802824,0.9466666666666667,0.9455128205128205,0.892933618843683,0.9705882352941176,0.9166666666666666,0.9428571428571428,152,4,12,132
2026-06-03T10:30:01,False,,1,[32],5,700,300,12,32,,,1.6206240000028629,0.97,0.9698183760683761,0.9398877905423457,0.972027972027972,0.9652777777777778,0.9686411149825784,152,4,5,139
2026-06-03T10:30:03,False,,1,[32],3,700,300,12,32,,,1.557983599981526,0.9633333333333334,0.9636752136752137,0.9266079530290899,0.9523809523809523,0.9722222222222222,0.9621993127147767,149,7,4,140
2026-06-03T10:30:05,False,,1,[32],5,700,300,12,32,,,1.6135780999902636,0.9633333333333334,0.9626068376068375,0.926450922706606,0.9784172661870504,0.9444444444444444,0.9611307420494699,153,3,8,136
2026-06-03T10:30:07,False,,2,"[32, 64]",3,700,300,12,32,,,2.096792900003493,0.97,0.9706196581196582,0.9399839957321953,0.9530201342281879,0.9861111111111112,0.9692832764505119,149,7,2,142
2026-06-03T10:30:10,False,,2,"[32, 64]",5,700,300,12,32,,,2.6339727000158746,0.97,0.9706196581196582,0.9399839957321953,0.9530201342281879,0.9861111111111112,0.9692832764505119,149,7,2,142
2026-06-03T10:30:17,True,2,1,[16],3,700,300,12,32,20,32,1.1691140999901108,0.48333333333333334,0.46474358974358976,-0.07310994184436437,0.0,0.0,0.0,145,11,144,0
2026-06-03T10:30:19,True,2,1,[16],5,700,300,12,32,20,32,1.1844666000106372,0.52,0.5,0.0,0.0,0.0,0.0,156,0,144,0
2026-06-03T10:30:21,True,2,1,[32],3,700,300,12,32,20,32,1.2467633000051137,0.5266666666666666,0.5221688034188035,0.04467168998923565,0.5086206896551724,0.4097222222222222,0.45384615384615384,99,57,85,59
2026-06-03T10:30:22,True,2,1,[32],5,700,300,12,32,20,32,1.1957174999988638,0.5266666666666666,0.5371260683760684,0.07262277951933127,0.5043859649122807,0.7986111111111112,0.6182795698924731,43,113,29,115
2026-06-03T10:30:24,True,2,1,[32],3,700,300,12,32,20,32,1.2450653999985661,0.51,0.4935897435897436,-0.013234077750206907,0.4444444444444444,0.08333333333333333,0.14035087719298245,141,15,132,12
2026-06-03T10:30:26,True,2,1,[32],5,700,300,12,32,20,32,1.2614961999934167,0.53,0.5256410256410257,0.051654560129136495,0.5128205128205128,0.4166666666666667,0.45977011494252873,99,57,84,60
2026-06-03T10:30:28,True,2,2,"[32, 64]",3,700,300,12,32,20,32,1.4755119999754243,0.51,0.5029380341880342,0.0059507708953204785,0.4845360824742268,0.3263888888888889,0.3900414937759336,106,50,97,47
2026-06-03T10:30:30,True,2,2,"[32, 64]",5,700,300,12,32,20,32,1.544703399995342,0.48,0.4703525641025641,-0.06035889070146805,0.4230769230769231,0.22916666666666666,0.2972972972972973,111,45,111,33
2026-06-03T10:30:37,True,4,1,[16],3,700,300,12,32,20,32,1.2055232000129763,0.7166666666666667,0.7142094017094017,0.43014212925717354,0.7286821705426356,0.6527777777777778,0.6886446886446886,121,35,50,94
2026-06-03T10:30:39,True,4,1,[16],5,700,300,12,32,20,32,1.2356118999887258,0.7133333333333334,0.7077991452991452,0.41985968699406373,0.7735849056603774,0.5694444444444444,0.656,132,24,62,82
2026-06-03T10:30:40,True,4,1,[32],3,700,300,12,32,20,32,1.2563401999941561,0.6966666666666667,0.6888354700854701,0.38330170777988615,0.797752808988764,0.4930555555555556,0.6094420600858369,138,18,73,71
2026-06-03T10:30:42,True,4,1,[32],5,700,300,12,32,20,32,1.2669170000008307,0.6866666666666666,0.6800213675213675,0.36452136289886417,0.7551020408163265,0.5138888888888888,0.6115702479338843,132,24,70,74
2026-06-03T10:30:44,True,4,1,[32],3,700,300,12,32,20,32,1.2305998000083491,0.6966666666666667,0.6971153846153846,0.3934950679818715,0.6754966887417219,0.7083333333333334,0.6915254237288135,107,49,42,102
2026-06-03T10:30:45,True,4,1,[32],5,700,300,12,32,20,32,1.250396899995394,0.71,0.7088675213675214,0.41829366140679325,0.7050359712230215,0.6805555555555556,0.6925795053003534,115,41,46,98
2026-06-03T10:30:47,True,4,2,"[32, 64]",3,700,300,12,32,20,32,1.477275599987479,0.7133333333333334,0.7147435897435898,0.42788717402873866,0.6835443037974683,0.75,0.7152317880794702,106,50,36,108
2026-06-03T10:30:49,True,4,2,"[32, 64]",5,700,300,12,32,20,32,1.6047404000128154,0.72,0.7160790598290598,0.4351802044109736,0.7542372881355932,0.6180555555555556,0.6793893129770993,127,29,55,89
2026-06-03T10:30:57,True,8,1,[16],3,700,300,12,32,20,32,1.283658500004094,0.7466666666666667,0.7521367521367521,0.49841605068637806,0.6808510638297872,0.8888888888888888,0.7710843373493976,96,60,16,128
2026-06-03T10:30:59,True,8,1,[16],5,700,300,12,32,20,32,1.201884499983862,0.7266666666666667,0.7291666666666666,0.4556558682952735,0.6867469879518072,0.7916666666666666,0.7354838709677419,104,52,30,114
