timestamp,use_reduction,latent_dim,conv_blocks,filters,kernel_size,n_train,n_test,classifier_epochs,classifier_batch_size,autoencoder_epochs,autoencoder_batch_size,train_seconds,accuracy,balanced_accuracy,kappa,precision,recall,f1,tn,fp,fn,tp
2026-06-02T01:23:35,True,2,1,[32],3,700,300,12,32,10,32,1.1844272000016645,0.6333333333333333,0.6279380341880342,0.25836030204962246,0.6574074074074074,0.4930555555555556,0.5634920634920635,119,37,73,71
2026-06-02T01:23:37,True,2,1,[32],5,700,300,12,32,10,32,1.1705511000036495,0.57,0.5723824786324786,0.14388107247146276,0.5449101796407185,0.6319444444444444,0.5852090032154341,80,76,53,91
2026-06-02T01:23:39,True,2,2,"[32, 64]",3,700,300,12,32,10,32,1.4460324999963632,0.62,0.6292735042735043,0.25353588266107907,0.5688073394495413,0.8611111111111112,0.6850828729281768,62,94,20,124
2026-06-02T01:23:41,True,2,2,"[32, 64]",5,700,300,12,32,10,32,1.4885816000023624,0.6066666666666667,0.5969551282051282,0.19749727965179542,0.6710526315789473,0.3541666666666667,0.4636363636363636,131,25,93,51
2026-06-02T01:23:46,True,4,1,[16],3,700,300,12,32,10,32,1.2167841999980737,0.6133333333333333,0.6132478632478633,0.22625400213447167,0.5945945945945946,0.6111111111111112,0.6027397260273972,96,60,56,88
2026-06-02T01:23:48,True,4,1,[16],5,700,300,12,32,10,32,1.1915085000000545,0.61,0.610309829059829,0.22020794454812043,0.5894039735099338,0.6180555555555556,0.6033898305084746,94,62,55,89
2026-06-02T01:23:49,True,4,1,[32],3,700,300,12,32,10,32,1.1868293000006815,0.6333333333333333,0.6370192307692307,0.2717161016949152,0.5965909090909091,0.7291666666666666,0.65625,85,71,39,105
2026-06-02T01:23:51,True,4,1,[32],5,700,300,12,32,10,32,1.171103699998639,0.6133333333333333,0.6172542735042735,0.23239809422975122,0.5786516853932584,0.7152777777777778,0.639751552795031,81,75,41,103
2026-06-02T01:23:52,True,4,1,[32],3,700,300,12,32,10,32,1.2028707999998005,0.6333333333333333,0.6370192307692307,0.2717161016949152,0.5965909090909091,0.7291666666666666,0.65625,85,71,39,105
2026-06-02T01:23:54,True,4,1,[32],5,700,300,12,32,10,32,1.2025013000020408,0.6133333333333333,0.6172542735042735,0.23239809422975122,0.5786516853932584,0.7152777777777778,0.639751552795031,81,75,41,103
2026-06-02T01:23:56,True,4,2,"[32, 64]",3,700,300,12,32,10,32,1.431827100001101,0.59,0.5974893162393162,0.1918528252299605,0.551219512195122,0.7847222222222222,0.6475644699140402,64,92,31,113
2026-06-02T01:23:58,True,4,2,"[32, 64]",5,700,300,12,32,10,32,1.4824371000067913,0.5966666666666667,0.6030982905982906,0.20331840927047662,0.5583756345177665,0.7638888888888888,0.6451612903225806,69,87,34,110
2026-06-02T01:24:03,True,8,1,[16],3,700,300,12,32,10,32,1.1662409999989904,0.74,0.7427884615384616,0.48248407643312097,0.6964285714285714,0.8125,0.75,105,51,27,117
2026-06-02T01:24:05,True,8,1,[16],5,700,300,12,32,10,32,1.1674287999994704,0.7566666666666667,0.7612179487179487,0.5173234594022745,0.6961325966850829,0.875,0.7753846153846153,101,55,18,126
2026-06-02T01:24:06,True,8,1,[32],3,700,300,12,32,10,32,1.186532100000477,0.77,0.7759081196581197,0.5449749406489053,0.6963350785340314,0.9236111111111112,0.7940298507462686,98,58,11,133
2026-06-02T01:24:08,True,8,1,[32],5,700,300,12,32,10,32,1.1747690999982296,0.75,0.7529380341880342,0.5025205624834173,0.7041420118343196,0.8263888888888888,0.7603833865814696,106,50,25,119
2026-06-02T01:24:10,True,8,1,[32],3,700,300,12,32,10,32,1.1775426999956835,0.77,0.7759081196581197,0.5449749406489053,0.6963350785340314,0.9236111111111112,0.7940298507462686,98,58,11,133
2026-06-02T01:24:11,True,8,1,[32],5,700,300,12,32,10,32,1.1767462999996496,0.75,0.7529380341880342,0.5025205624834173,0.7041420118343196,0.8263888888888888,0.7603833865814696,106,50,25,119
2026-06-02T01:24:13,True,8,2,"[32, 64]",3,700,300,12,32,10,32,1.4202198999992106,0.7666666666666667,0.7681623931623931,0.5343267695582756,0.7341772151898734,0.8055555555555556,0.7682119205298014,114,42,28,116
2026-06-02T01:24:15,True,8,2,"[32, 64]",5,700,300,12,32,10,32,1.524428099997749,0.76,0.7625534188034188,0.5220392989909718,0.7168674698795181,0.8263888888888888,0.7677419354838709,109,47,25,119
